job_id,title,company,location,work_mode,duration,stipend,skills,education,description,responsibilities,eligibility,application_url
JOB014,LLM Research Intern,CognitiveCloud,Pune,Hybrid,6 Months,"₹30,000 / month","Python, PyTorch, Transformers, Prompt Engineering, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a LLM Research Intern at CognitiveCloud. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Transformers.",https://internships.example.com/apply/job014
JOB015,AI Solutions Intern,OmniAI Labs,Noida,On-site,3 Months,"₹40,000 / month","Python, PyTorch, Prompt Engineering, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Solutions Intern at OmniAI Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Prompt Engineering.",https://internships.example.com/apply/job015
JOB016,AI Engineering Intern,Brainwave AI,Chennai,On-site,6 Months,"₹20,000 / month","Python, PyTorch, Git",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Engineering Intern at Brainwave AI. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, Git.",https://internships.example.com/apply/job016
JOB017,Applied AI Intern,NeuralTech Labs,Remote,Remote,3 Months,"₹30,000 / month","Python, PyTorch, TensorFlow",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Applied AI Intern at NeuralTech Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job017
JOB018,Generative AI Intern,DeepVision Systems,Pune,Hybrid,6 Months,"₹40,000 / month","Python, PyTorch, TensorFlow, LangChain",B.Tech CSE/AI/ML or M.Tech AI,"Work as a Generative AI Intern at DeepVision Systems. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job018
JOB019,LLM Research Intern,CognitiveCloud,Noida,On-site,3 Months,"₹20,000 / month","Python, PyTorch, TensorFlow, LangChain, LLMs",B.Tech CSE/AI/ML or M.Tech AI,"Work as a LLM Research Intern at CognitiveCloud. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, TensorFlow.",https://internships.example.com/apply/job019
JOB020,AI Solutions Intern,OmniAI Labs,Chennai,On-site,6 Months,"₹30,000 / month","Python, PyTorch, LangChain, LLMs, RAG",B.Tech CSE/AI/ML or M.Tech AI,"Work as a AI Solutions Intern at OmniAI Labs. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Artificial Intelligence.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/AI/ML or M.Tech AI with proficiency in Python, PyTorch, LangChain.",https://internships.example.com/apply/job020
JOB021,Machine Learning Intern,DataMind Analytics,Noida,On-site,3 Months,"₹30,000 / month","Python, Machine Learning, Scikit-learn, Pandas, NumPy",B.Tech CSE/IT/Data Science,"Work as a Machine Learning Intern at DataMind Analytics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job021
JOB022,MLOps Intern,PredictiveScale,Chennai,On-site,6 Months,"₹40,000 / month","Python, Machine Learning, Pandas, NumPy, OpenCV",B.Tech CSE/IT/Data Science,"Work as a MLOps Intern at PredictiveScale. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Pandas.",https://internships.example.com/apply/job022
JOB023,Computer Vision Intern,Visionary Tech,Remote,Remote,3 Months,"₹20,000 / month","Python, Machine Learning, NumPy, OpenCV, MLflow",B.Tech CSE/IT/Data Science,"Work as a Computer Vision Intern at Visionary Tech. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, NumPy.",https://internships.example.com/apply/job023
JOB024,NLP Engineering Intern,AlgoMetrics,Pune,Hybrid,6 Months,"₹30,000 / month","Python, Machine Learning, OpenCV, MLflow, SQL",B.Tech CSE/IT/Data Science,"Work as a NLP Engineering Intern at AlgoMetrics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, OpenCV.",https://internships.example.com/apply/job024
JOB025,Predictive Analytics Intern,Turing Insights,Noida,On-site,3 Months,"₹40,000 / month","Python, Machine Learning, MLflow, SQL",B.Tech CSE/IT/Data Science,"Work as a Predictive Analytics Intern at Turing Insights. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, MLflow.",https://internships.example.com/apply/job025
JOB026,Machine Learning Intern,DataMind Analytics,Chennai,On-site,6 Months,"₹20,000 / month","Python, Machine Learning, SQL",B.Tech CSE/IT/Data Science,"Work as a Machine Learning Intern at DataMind Analytics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, SQL.",https://internships.example.com/apply/job026
JOB027,MLOps Intern,PredictiveScale,Remote,Remote,3 Months,"₹30,000 / month","Python, Machine Learning, Scikit-learn",B.Tech CSE/IT/Data Science,"Work as a MLOps Intern at PredictiveScale. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job027
JOB028,Computer Vision Intern,Visionary Tech,Pune,Hybrid,6 Months,"₹40,000 / month","Python, Machine Learning, Scikit-learn, Pandas",B.Tech CSE/IT/Data Science,"Work as a Computer Vision Intern at Visionary Tech. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job028
JOB029,NLP Engineering Intern,AlgoMetrics,Noida,On-site,3 Months,"₹20,000 / month","Python, Machine Learning, Scikit-learn, Pandas, NumPy",B.Tech CSE/IT/Data Science,"Work as a NLP Engineering Intern at AlgoMetrics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job029
JOB030,Predictive Analytics Intern,Turing Insights,Chennai,On-site,6 Months,"₹30,000 / month","Python, Machine Learning, Pandas, NumPy, OpenCV",B.Tech CSE/IT/Data Science,"Work as a Predictive Analytics Intern at Turing Insights. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Pandas.",https://internships.example.com/apply/job030
JOB031,Machine Learning Intern,DataMind Analytics,Remote,Remote,3 Months,"₹40,000 / month","Python, Machine Learning, NumPy, OpenCV, MLflow",B.Tech CSE/IT/Data Science,"Work as a Machine Learning Intern at DataMind Analytics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, NumPy.",https://internships.example.com/apply/job031
JOB032,MLOps Intern,PredictiveScale,Pune,Hybrid,6 Months,"₹20,000 / month","Python, Machine Learning, OpenCV, MLflow, SQL",B.Tech CSE/IT/Data Science,"Work as a MLOps Intern at PredictiveScale. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, OpenCV.",https://internships.example.com/apply/job032
JOB033,Computer Vision Intern,Visionary Tech,Noida,On-site,3 Months,"₹30,000 / month","Python, Machine Learning, MLflow, SQL",B.Tech CSE/IT/Data Science,"Work as a Computer Vision Intern at Visionary Tech. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, MLflow.",https://internships.example.com/apply/job033
JOB034,NLP Engineering Intern,AlgoMetrics,Chennai,On-site,6 Months,"₹40,000 / month","Python, Machine Learning, SQL",B.Tech CSE/IT/Data Science,"Work as a NLP Engineering Intern at AlgoMetrics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, SQL.",https://internships.example.com/apply/job034
JOB035,Predictive Analytics Intern,Turing Insights,Remote,Remote,3 Months,"₹20,000 / month","Python, Machine Learning, Scikit-learn",B.Tech CSE/IT/Data Science,"Work as a Predictive Analytics Intern at Turing Insights. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job035
JOB036,Machine Learning Intern,DataMind Analytics,Pune,Hybrid,6 Months,"₹30,000 / month","Python, Machine Learning, Scikit-learn, Pandas",B.Tech CSE/IT/Data Science,"Work as a Machine Learning Intern at DataMind Analytics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job036
JOB037,MLOps Intern,PredictiveScale,Noida,On-site,3 Months,"₹40,000 / month","Python, Machine Learning, Scikit-learn, Pandas, NumPy",B.Tech CSE/IT/Data Science,"Work as a MLOps Intern at PredictiveScale. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Scikit-learn.",https://internships.example.com/apply/job037
JOB038,Computer Vision Intern,Visionary Tech,Chennai,On-site,6 Months,"₹20,000 / month","Python, Machine Learning, Pandas, NumPy, OpenCV",B.Tech CSE/IT/Data Science,"Work as a Computer Vision Intern at Visionary Tech. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, Pandas.",https://internships.example.com/apply/job038
JOB039,NLP Engineering Intern,AlgoMetrics,Remote,Remote,3 Months,"₹30,000 / month","Python, Machine Learning, NumPy, OpenCV, MLflow",B.Tech CSE/IT/Data Science,"Work as a NLP Engineering Intern at AlgoMetrics. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, NumPy.",https://internships.example.com/apply/job039
JOB040,Predictive Analytics Intern,Turing Insights,Pune,Hybrid,6 Months,"₹40,000 / month","Python, Machine Learning, OpenCV, MLflow, SQL",B.Tech CSE/IT/Data Science,"Work as a Predictive Analytics Intern at Turing Insights. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Machine Learning.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech CSE/IT/Data Science with proficiency in Python, Machine Learning, OpenCV.",https://internships.example.com/apply/job040
JOB041,Data Science Intern,InsightEdge,Remote,Remote,3 Months,"₹40,000 / month","Python, R, SQL, Pandas, Power BI",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Science Intern at InsightEdge. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, SQL.",https://internships.example.com/apply/job041
JOB042,Data Analyst Intern,StatPulse Solutions,Pune,Hybrid,6 Months,"₹20,000 / month","Python, R, Pandas, Power BI, Tableau",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Analyst Intern at StatPulse Solutions. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Pandas.",https://internships.example.com/apply/job042
JOB043,Business Analytics Intern,MetricFlow,Noida,On-site,3 Months,"₹30,000 / month","Python, R, Power BI, Tableau, Statistics",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Business Analytics Intern at MetricFlow. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Power BI.",https://internships.example.com/apply/job043
JOB044,Statistical Modeling Intern,DataVista,Chennai,On-site,6 Months,"₹40,000 / month","Python, R, Tableau, Statistics, Excel",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Statistical Modeling Intern at DataVista. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Tableau.",https://internships.example.com/apply/job044
JOB045,BI Engineering Intern,AnalyticsHQ,Remote,Remote,3 Months,"₹20,000 / month","Python, R, Statistics, Excel, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a BI Engineering Intern at AnalyticsHQ. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Statistics.",https://internships.example.com/apply/job045
JOB046,Data Science Intern,InsightEdge,Pune,Hybrid,6 Months,"₹30,000 / month","Python, R, Excel, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Science Intern at InsightEdge. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Excel.",https://internships.example.com/apply/job046
JOB047,Data Analyst Intern,StatPulse Solutions,Noida,On-site,3 Months,"₹40,000 / month","Python, R, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Analyst Intern at StatPulse Solutions. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Data Visualization.",https://internships.example.com/apply/job047
JOB048,Business Analytics Intern,MetricFlow,Chennai,On-site,6 Months,"₹20,000 / month","Python, R, SQL",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Business Analytics Intern at MetricFlow. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, SQL.",https://internships.example.com/apply/job048
JOB049,Statistical Modeling Intern,DataVista,Remote,Remote,3 Months,"₹30,000 / month","Python, R, SQL, Pandas",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Statistical Modeling Intern at DataVista. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, SQL.",https://internships.example.com/apply/job049
JOB050,BI Engineering Intern,AnalyticsHQ,Pune,Hybrid,6 Months,"₹40,000 / month","Python, R, SQL, Pandas, Power BI",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a BI Engineering Intern at AnalyticsHQ. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, SQL.",https://internships.example.com/apply/job050
JOB051,Data Science Intern,InsightEdge,Noida,On-site,3 Months,"₹20,000 / month","Python, R, Pandas, Power BI, Tableau",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Science Intern at InsightEdge. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Pandas.",https://internships.example.com/apply/job051
JOB052,Data Analyst Intern,StatPulse Solutions,Chennai,On-site,6 Months,"₹30,000 / month","Python, R, Power BI, Tableau, Statistics",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Analyst Intern at StatPulse Solutions. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Power BI.",https://internships.example.com/apply/job052
JOB053,Business Analytics Intern,MetricFlow,Remote,Remote,3 Months,"₹40,000 / month","Python, R, Tableau, Statistics, Excel",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Business Analytics Intern at MetricFlow. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Tableau.",https://internships.example.com/apply/job053
JOB054,Statistical Modeling Intern,DataVista,Pune,Hybrid,6 Months,"₹20,000 / month","Python, R, Statistics, Excel, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Statistical Modeling Intern at DataVista. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Statistics.",https://internships.example.com/apply/job054
JOB055,BI Engineering Intern,AnalyticsHQ,Noida,On-site,3 Months,"₹30,000 / month","Python, R, Excel, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a BI Engineering Intern at AnalyticsHQ. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Excel.",https://internships.example.com/apply/job055
JOB056,Data Science Intern,InsightEdge,Chennai,On-site,6 Months,"₹40,000 / month","Python, R, Data Visualization",B.Tech/B.Sc Statistics/Data Science/Math,"Work as a Data Science Intern at InsightEdge. You will collaborate with cross-functional teams to design, develop, test, and deploy software solutions in Data Science & Analytics.",Design and implement software components; write clean code; write unit tests; document features and collaborate with senior engineers.,"B.Tech/B.Sc Statistics/Data Science/Math with proficiency in Python, R, Data Visualization.",https://internships.example.com/apply/job056
